Section	dgvaTable	metadataField	definition	type	notNull	default
Study	EXPERIMENT_CURATION	CURATOR_EMAIL	The given e-mail of the person/institution responsible for curating the study	VARCHAR2(4000)	TRUE	
Study	EXPERIMENT_CURATION	CURATED_SET_NAME	The given name for the set of curated variants	VARCHAR2(4000)	TRUE	
Study	EXPERIMENT_CURATION	CURATED_SET_LINK		VARCHAR2(4000)	FALSE
Study	DGVA_METHOD	METHOD_TYPE	Controlled by CV in table "method_type_cv"	VARCHAR2(4000)	TRUE	
Study	DGVA_METHOD	METHOD_RESOLUTION	Text as reported by the submitter, e.g. BP for "base pair"	VARCHAR2(4000)	FALSE	
Study	DGVA_METHOD	METHOD_DESCRIPTION	Values controlled by entries in table "method_type_cv"	VARCHAR2(4000)	FALSE	
Study	PUBMED_PUBLICATION	PUBMED_ID	Publication attribute as given by Pubmed	NUMBER(10,0)	TRUE	
Study	PUBMED_PUBLICATION	ARTICLE_TITLE	Publication attribute as given by Pubmed	VARCHAR2(4000)	FALSE	
Study	PUBMED_PUBLICATION	FIRST_AUTHOR	Publication attribute as given by Pubmed	VARCHAR2(4000)	FALSE	
Study	PUBMED_PUBLICATION	JOURNAL_TITLE	Publication attribute as given by Pubmed	VARCHAR2(4000)	FALSE	
Study	PUBMED_PUBLICATION	PUBLICATION_YEAR	Publication attribute as given by Pubmed	NUMBER(10,0)	FALSE	
Study	PUBMED_PUBLICATION	ARTICLE_ABSTRACT	Publication attribute as given by Pubmed	VARCHAR2(4000)	FALSE	
Study	DGVA_SUBJECT	SUBJECT_SEX	Controlled by table "sex_cv"	VARCHAR2(4000)	FALSE	
Study	DGVA_SUBJECT	SUBJECT_AGE		VARCHAR2(4000)	FALSE	
Study	SUBJECT_FAMILY_RELATIONSHIP	FAMILY_RELATIONSHIP	An FK from table "family_relationship_cv"	VARCHAR2(4000)	TRUE
Study	PHENOTYPE_CV	PHENOTYPE_DATABASE_NAME	An FK from table "phenotype_database_name_cv"	VARCHAR2(4000)	TRUE
Analysis	ANALYSIS_REFERENCE_TYPE_CV	REFERENCE_TYPE	Populated from XSD "ReferenceTypeCV"	VARCHAR2(4000)	TRUE	
Sample	DGVA_SAMPLE	SAMPLE_CELL_TYPE	Provided by submitter, usually null and sometimes "Cell-culture"	VARCHAR2(4000)	FALSE	
Sample	DGVA_SAMPLE	SAMPLE_CANCER	Indicate if the sample is tumour-derived	VARCHAR2(4000)	FALSE	
Sample	DGVA_SAMPLE	SAMPLE_KARYOTYPE	Can be recored by submitter if relevant, almost always null	VARCHAR2(4000)	FALSE	
Sample	DGVA_SAMPLESET	SAMPLESET_NAME	Recorded by the submitter, corresponds to the attribute "sampleset_name="  of the <SAMPLESET> element in the Exchange XML	VARCHAR2(4000)	FALSE	
Sample	DGVA_SAMPLESET	SAMPLESET_TYPE	Submitter-provided.  Optional and rarely used, example is "Control"	VARCHAR2(4000)	FALSE	
Sample	DGVA_SAMPLESET	SAMPLESET_SEX	Optional value provided by submitter	VARCHAR2(4000)	FALSE	
File	STUDY_FILE	FILE_DESCRIPTION	Records any information specific to a given file	VARCHAR2(4000)	FALSE	No description given'
File	STUDY_FILE	FILE_CONTENT	Entire file contents, gzipped if possible. Can contain text, XML, or proprietary binary files such as Excel spreadsheets	BLOB	FALSE	
